Respondent_ID,Age,Gender,Background,Domestication,PetVaccination,DogBite,Death,DogSpread,Transmission,PreventableVaccination,Campaign,SelfVaccination,PreVaccination,PostVaccination,Signs,Rabid,Doctor,Facilities,Affected,AffordableVaccination,PreferVaccination
Respondent353,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1
Respondent356,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1
Respondent359,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1
Respondent360,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1
Respondent363,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2
Respondent364,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2
Respondent372,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1
Respondent376,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1
Respondent379,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1
Respondent382,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1
Respondent383,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
Respondent387,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1
Respondent394,1,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1
Respondent395,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1
Respondent398,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1
Respondent407,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1
Respondent408,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1
Respondent409,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1
Respondent411,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1
Respondent418,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1
Respondent420,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
Respondent426,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1
Respondent427,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1
Respondent428,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2
Respondent433,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1
Respondent435,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1
Respondent436,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1
Respondent438,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1
